date,average,count,min,max,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-15T05:00:00,20869.0,24.0,4465.0,67552.0,,,,
2022-03-15T06:00:00,20622.0,25.0,4240.0,47533.0,,,,
2022-03-15T07:00:00,12656.0,26.0,4877.0,42105.0,,,,
2022-03-15T08:00:00,75496.0,23.0,4102.0,1136868.0,,,,
2022-03-15T09:00:00,27009.0,24.0,6293.0,101241.0,,,,
2022-03-15T10:00:00,18777.0,24.0,3901.0,105816.0,,,,
2022-03-15T11:00:00,25942.0,24.0,4845.0,68018.0,,,,
2022-03-15T12:00:00,27967.0,27.0,4650.0,264640.0,,,,
2022-03-15T13:00:00,14485.0,23.0,2771.0,60354.0,,,,
2022-03-15T14:00:00,29278.0,23.0,3805.0,210895.0,,,,
2022-03-15T15:00:00,16883.0,25.0,4413.0,36924.0,,,,
2022-03-15T16:00:00,24237.0,24.0,3697.0,68473.0,,,,
2022-03-15T17:00:00,23821.0,24.0,6086.0,107643.0,,,,
2022-03-15T18:00:00,23978.0,24.0,3798.0,63086.0,,,,
2022-03-15T19:00:00,19177.0,23.0,3924.0,80348.0,,,,
2022-03-15T20:00:00,19578.0,24.0,4301.0,50585.0,,,,
2022-03-15T21:00:00,37772.0,27.0,6240.0,485517.0,,,,
2022-03-15T22:00:00,18559.0,24.0,4986.0,49457.0,,,,
2022-03-15T23:00:00,15404.0,23.0,5252.0,66958.0,,,,
2022-03-16T00:00:00,24415.0,24.0,4723.0,128540.0,,,,
2022-03-16T01:00:00,22990.0,21.0,3699.0,60025.0,,,,
2022-03-16T02:00:00,18245.0,27.0,6174.0,49996.0,,,,
2022-03-16T03:00:00,17378.0,23.0,5095.0,71505.0,,,,
2022-03-16T04:00:00,32163.0,24.0,5124.0,284737.0,,,,
2022-03-16T05:00:00,18389.0,24.0,6035.0,52577.0,,,,
2022-03-16T06:00:00,25928.0,23.0,4567.0,116588.0,,,,
2022-03-16T07:00:00,15391.0,24.0,4630.0,30613.0,,,,
2022-03-16T08:00:00,75283.0,23.0,5256.0,1073799.0,,,,
2022-03-16T09:00:00,18468.0,27.0,5005.0,90283.0,,,,
2022-03-16T10:00:00,15898.0,23.0,5152.0,75894.0,,,,
2022-03-16T11:00:00,20136.0,23.0,5351.0,104590.0,,,,
2022-03-16T12:00:00,33868.0,24.0,4416.0,196530.0,,,,
2022-03-16T13:00:00,35218.0,22.0,5772.0,377768.0,,,,
2022-03-16T14:00:00,26185.0,26.0,5052.0,282158.0,,,,
2022-03-16T15:00:00,38997.0,25.0,4397.0,551661.0,,,,
2022-03-16T16:00:00,21176.0,24.0,4777.0,70911.0,,,,
2022-03-16T17:00:00,28119.0,23.0,7963.0,150039.0,,,,
2022-03-16T18:00:00,16119.0,23.0,4443.0,59741.0,,,,
2022-03-16T19:00:00,16788.0,24.0,4655.0,83305.0,,,,
2022-03-16T20:00:00,16154.0,27.0,4778.0,41833.0,,,,
2022-03-16T21:00:00,11965.0,24.0,5760.0,29387.0,,,,
2022-03-16T22:00:00,24756.0,24.0,3880.0,88020.0,,,,
2022-03-16T23:00:00,19277.0,24.0,6042.0,84776.0,,,,
2022-03-17T00:00:00,16412.0,23.0,5798.0,58633.0,,,,
2022-03-17T01:00:00,24436.0,25.0,5814.0,132896.0,,,,
2022-03-17T02:00:00,16965.0,27.0,5709.0,46908.0,,,,
2022-03-17T03:00:00,31624.0,24.0,3921.0,130852.0,,,,
2022-03-17T04:00:00,27337.0,22.0,5275.0,108773.0,,,,
2022-03-17T05:00:00,25817.0,23.0,5726.0,93624.0,,,,
2022-03-17T06:00:00,17510.0,21.0,4190.0,43033.0,,,,
2022-03-17T07:00:00,33895.0,24.0,5205.0,388127.0,,,,
2022-03-17T08:00:00,17967.0,27.0,3767.0,89210.0,,,,
2022-03-17T09:00:00,23338.0,23.0,3720.0,103193.0,,,,
2022-03-17T10:00:00,19463.0,22.0,2689.0,89174.0,,,,
2022-03-17T11:00:00,20662.0,22.0,2505.0,109335.0,,,,
2022-03-17T12:00:00,20406.0,24.0,5030.0,139701.0,,,,
2022-03-17T13:00:00,15654.0,25.0,4671.0,55005.0,,,,
2022-03-17T14:00:00,15196.0,24.0,3616.0,62942.0,,,,
2022-03-17T15:00:00,24120.0,24.0,4234.0,108017.0,,,,
2022-03-17T16:00:00,23503.0,24.0,4534.0,124635.0,,,,
2022-03-17T17:00:00,43852.0,23.0,4141.0,403301.0,,,,
2022-03-17T18:00:00,19349.0,24.0,5202.0,84627.0,,,,
2022-03-17T19:00:00,20147.0,26.0,4484.0,79751.0,,,,
2022-03-17T20:00:00,28837.0,24.0,5822.0,137502.0,,,,
2022-03-17T21:00:00,21168.0,22.0,4425.0,78426.0,,,,
2022-03-17T22:00:00,15477.0,24.0,5118.0,50666.0,,,,
2022-03-17T23:00:00,21503.0,24.0,5712.0,167622.0,,,,
2022-03-18T00:00:00,28652.0,25.0,4448.0,192024.0,,,,
2022-03-18T01:00:00,17044.0,24.0,5243.0,48709.0,,,,
2022-03-18T02:00:00,26575.0,23.0,5954.0,138228.0,,,,
2022-03-18T03:00:00,15942.0,23.0,4847.0,63638.0,,,,
2022-03-18T04:00:00,22581.0,23.0,6336.0,142718.0,,,,
2022-03-18T05:00:00,27309.0,27.0,6214.0,112811.0,,,,
2022-03-18T06:00:00,27562.0,22.0,6410.0,212263.0,,,,
2022-03-18T07:00:00,16207.0,23.0,5142.0,54491.0,,,,
2022-03-18T08:00:00,21762.0,22.0,5789.0,145140.0,,,,
2022-03-18T09:00:00,21636.0,24.0,5070.0,86512.0,,,,
2022-03-18T10:00:00,30609.0,26.0,5719.0,260231.0,,,,
2022-03-18T11:00:00,27378.0,23.0,6056.0,123449.0,,,,
2022-03-18T12:00:00,13727.0,24.0,4447.0,38551.0,,,,
2022-03-18T13:00:00,31270.0,23.0,4734.0,133446.0,,,,
2022-03-18T14:00:00,25795.0,23.0,5550.0,140537.0,,,,
2022-03-18T15:00:00,12826.0,24.0,4914.0,37149.0,,,,
2022-03-18T16:00:00,31821.0,26.0,4744.0,184802.0,,,,
2022-03-18T17:00:00,23846.0,23.0,5645.0,114159.0,,,,
2022-03-18T18:00:00,27218.0,24.0,4197.0,109259.0,,,,
2022-03-18T19:00:00,42505.0,23.0,5268.0,407672.0,,,,
2022-03-18T20:00:00,18408.0,24.0,2934.0,53495.0,,,,
2022-03-18T21:00:00,29525.0,26.0,5668.0,350275.0,,,,
2022-03-18T22:00:00,18390.0,24.0,5408.0,60061.0,,,,
2022-03-18T23:00:00,33664.0,23.0,5108.0,304009.0,,,,
2022-03-19T00:00:00,20853.0,24.0,6189.0,104008.0,,,,
2022-03-19T01:00:00,23706.0,23.0,4409.0,147039.0,,,,
2022-03-19T02:00:00,16627.0,27.0,3188.0,57618.0,,,,
2022-03-19T03:00:00,21414.0,23.0,4767.0,121831.0,,,,
2022-03-19T04:00:00,22924.0,24.0,4953.0,201261.0,,,,
2022-03-19T05:00:00,20414.0,24.0,5415.0,56775.0,,,,
2022-03-19T06:00:00,24847.0,23.0,6284.0,87235.0,,,,
2022-03-19T07:00:00,33562.0,27.0,5079.0,400248.0,,,,
2022-03-19T08:00:00,20247.0,23.0,4255.0,40596.0,,,,
2022-03-19T09:00:00,22798.0,24.0,5954.0,60060.0,,,,
2022-03-19T10:00:00,16859.0,23.0,5170.0,59873.0,,,,
2022-03-19T11:00:00,16221.0,23.0,5298.0,52759.0,,,,
2022-03-19T12:00:00,14050.0,27.0,4925.0,47111.0,,,,
2022-03-19T13:00:00,24519.0,24.0,5776.0,66875.0,,,,
2022-03-19T14:00:00,17785.0,24.0,5379.0,99767.0,,,,
2022-03-19T15:00:00,20630.0,24.0,5527.0,73200.0,,,,
2022-03-19T16:00:00,14873.0,23.0,4674.0,55495.0,,,,
2022-03-19T17:00:00,18051.0,26.0,3875.0,47325.0,,,,
2022-03-19T18:00:00,19391.0,24.0,5054.0,68716.0,,,,
2022-03-19T19:00:00,16293.0,24.0,4490.0,64003.0,,,,
2022-03-19T20:00:00,31397.0,24.0,6225.0,260852.0,,,,
2022-03-19T21:00:00,14419.0,24.0,3512.0,41479.0,,,,
2022-03-19T22:00:00,18052.0,26.0,5827.0,52130.0,,,,
2022-03-19T23:00:00,16244.0,24.0,5990.0,41585.0,,,,
2022-03-20T00:00:00,27787.0,24.0,4699.0,211601.0,,,,
2022-03-20T01:00:00,25052.0,24.0,4953.0,190252.0,,,,
2022-03-20T02:00:00,23136.0,27.0,4079.0,135197.0,,,,
2022-03-20T03:00:00,47836.0,22.0,5498.0,649846.0,,,,
2022-03-20T04:00:00,15695.0,24.0,4238.0,35377.0,,,,
2022-03-20T05:00:00,18819.0,24.0,5114.0,58584.0,,,,
2022-03-20T06:00:00,18380.0,24.0,4856.0,74487.0,,,,
2022-03-20T07:00:00,26231.0,23.0,5078.0,61753.0,,,,
2022-03-20T08:00:00,32853.0,25.0,4360.0,164792.0,,,,
2022-03-20T09:00:00,26382.0,24.0,5197.0,82125.0,,,,
2022-03-20T10:00:00,19313.0,24.0,3091.0,52309.0,,,,
2022-03-20T11:00:00,56194.0,23.0,4351.0,885210.0,,,,
2022-03-20T12:00:00,20623.0,24.0,5083.0,50268.0,,,,
2022-03-20T13:00:00,40211.0,26.0,4684.0,541740.0,,,,
2022-03-20T14:00:00,20053.0,25.0,2385.0,132009.0,,,,
2022-03-20T15:00:00,29944.0,23.0,5091.0,105680.0,,,,
